epoch,train_loss,val_loss
1,0.02779608054074093,0.003107478366354885
2,0.0018494911626995808,0.0017048818281973186
3,0.0018031454351980106,0.0017282372674621317
4,0.001764073402487806,0.001655289867852369
5,0.001697201189277361,0.002000160738015952
6,0.0017235597084176593,0.0016875098277207303
7,0.0016603016743569501,0.0015884597492201822
8,0.001650734722456296,0.001599275137540763
9,0.0016066424775220054,0.0015629039439575179
10,0.0015909926857732768,0.0015359392703470328
11,0.0015876914840191603,0.0015775448764147966
12,0.001563816839604572,0.0015750921726145823
13,0.0015635788149666041,0.0015259520201336431
14,0.001534798129536544,0.0014992013836846404
15,0.0015315404286541576,0.0016094790012373226
16,0.0015346069402377388,0.0015212183706867306
17,0.0015110373652922654,0.0015085409294165995
18,0.001512531728492052,0.0015212903356017625
19,0.0014949881806387566,0.00150816491805017
20,0.001494773370463268,0.0015159398469183109
21,0.0014843903097373965,0.0015283891799576256
22,0.0014793048612773418,0.001534261928020936
23,0.0014836230225877703,0.0015627155029822302
24,0.001477077802909272,0.0015584994765484462
25,0.0014770517227589153,0.0015253985108321776
26,0.0014705256700316177,0.0014449379599207769
27,0.0014789784763706848,0.0014755506189944952
28,0.001474794717588728,0.0015976703017140212
29,0.0014664430314691604,0.0015282191174185793
30,0.0014567858171566123,0.0014801648010135345
